company_name,company_number,company_status,company_type,company_subtype,dissolution_date,incorporation_date,removed_date,registered_date,nature_of_business,registered_office_address,website,email,match_confidence
LAVANTAFERN LIMITED,17253243,active,ltd,,,2026-06-01,,2026-06-01,[56102],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
AL-TOURATH BEADS LONDON LTD,17253242,active,ltd,,,2026-06-01,,2026-06-01,"[46180, 46900, 47190]",2 Tatam Road London England NW10 8HT,,,
AXORNE LTD,17253303,active,ltd,,,2026-06-01,,2026-06-01,"[18129, 62012, 74100]",Thakrar Associates Limited Woolwich England SE18 6SW,,,
SIGNATURE LABS LTD,17253305,active,ltd,,,2026-06-01,,2026-06-01,[47910],124 City Road London United Kingdom EC1V 2NX,,,
NATIONAL HOSPITAL VEHICLE SANITATION (NHVS) LTD,17253275,active,ltd,,,2026-06-01,,2026-06-01,[81222],24 Rose Gardens London United Kingdom W5 4JU,nhvs.co.uk,,Likely
ALANA INVESTMENT LTD,17253298,active,ltd,,,2026-06-01,,2026-06-01,"[68100, 68209, 68320]",107 Sherrard Road London England E7 8DN,,,
KAVORYNTH COMMERCE LTD,17253334,active,ltd,,,2026-06-01,,2026-06-01,[46190],"Unit201 Second Floor Capital House 61 Amhurst Road, London United Kingdom E8 1LL",,,
ZIBEN INTELLIGENCE LTD.,17253309,active,ltd,,,2026-06-01,,2026-06-01,[62012],"2nd Floor College House Ruislip, United Kingdom HA4 7AE",,,
ZURI NILOTICA LIMITED,17253351,active,ltd,,,2026-06-01,,2026-06-01,"[46450, 62090, 96020]",Flat 5 Grantham Court London England W3 7AN,,,
ELRICA SERVICES LTD,17253354,active,ltd,,,2026-06-01,,2026-06-01,"[81210, 82990]","Flat 2, 25 Comerford Road London United Kingdom SE4 2BA",,,
OROSSTAFFING LTD,17253318,active,ltd,,,2026-06-01,,2026-06-01,[82990],66 Paul Street London United Kingdom EC2A 4NA,,,
OAKBRIDGE SKILLS LTD,17253394,active,ltd,,,2026-06-01,,2026-06-01,[85590],23a The Precinct Waterlooville United Kingdom PO7 7DT,,,
PFPL PROJECTS (BASINGSTOKE AND DEANE) LIMITED,17253398,active,ltd,,,2026-06-01,,2026-06-01,[93120],305 Gray's Inn Road London United Kingdom WC1X 8QR,,,
SLY CLEANIG LTD,17253429,active,ltd,,,2026-06-01,,2026-06-01,"[43341, 81210, 81299]",39 Tynemouth Road London England SE18 1PH,,,
LUMIDE TECHNOLOGIES LTD,17253419,active,ltd,,,2026-06-01,,2026-06-01,"[62012, 62020, 62090, 63110]",66 Paul Street London United Kingdom EC2A 4NA,lumide.tech,hello@lumide.tech,Confirmed
SALIH HEALTHCARE SERVICES LIMITED,17253453,active,ltd,,,2026-06-01,,2026-06-01,[86900],128 City Road London United Kingdom EC1V 2NX,,,
MONDON.AI LTD,17253436,active,ltd,,,2026-06-01,,2026-06-01,"[62012, 62020, 62090]",1a Mitre Road London England SE1 8PY,mondon.ai,,Confirmed
PELAGIX LTD,17253464,active,ltd,,,2026-06-01,,2026-06-01,"[62020, 62090, 63110]",124-128 City Road London England EC1V 2NX,,,
NRM NEXUS GLOBAL LTD,17253467,active,ltd,,,2026-06-01,,2026-06-01,"[47910, 47990]",20 Wenlock Road London England N1 7GU,nrmnexus.com,,Confirmed
JAAZA LTD,17253542,active,ltd,,,2026-06-01,,2026-06-01,[68100],12 Horsenden Avenue London United Kingdom UB6 0JB,,,
M2D2 LTD,17253523,active,ltd,,,2026-06-01,,2026-06-01,[32990],71-75 Shelton Street London United Kingdom WC2H 9JQ,m2d2.co.uk,hello@m2d2.co.uk,Confirmed
STERLING KESTREL PROPERTY GROUP LTD,17253486,active,ltd,,,2026-06-01,,2026-06-01,"[68100, 68209, 68320, 70229]",71-75 Shelton Street London United Kingdom WC2H 9JQ,sterlingkestrelproperty.co.uk,info@sterlingkestrelproperty.co.uk,Confirmed
ASHA AIR INSTALL LTD,17253510,active,ltd,,,2026-06-01,,2026-06-01,[43220],180 Shooters Hill Road London United Kingdom SE3 8RP,,,
BELGRAVIA COFFEE INDUSTRY CO. LTD,17253497,active,ltd,,,2026-06-01,,2026-06-01,[46370],"915, 915, Solar House High Road London United Kingdom N12 8QJ",,,
LIGHTHOUSE COSMETICS LIMITED,17253499,active,ltd,,,2026-06-01,,2026-06-01,[20420],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
SUNSCREAM BEACHWEAR LIMITED,17253578,active,ltd,,,2026-06-01,,2026-06-01,[47710],71-75 Shelton Street London United Kingdom WC2H 9JQ,,,
LEKKER SPORTS GROUP LTD,17253557,active,ltd,,,2026-06-01,,2026-06-01,[82301],66 Paul Street London United Kingdom EC2A 4NA,,,
HIDDEN DESIRES LTD,17253548,active,ltd,,,2026-06-01,,2026-06-01,[62011],66 Paul Street London United Kingdom EC2A 4NA,,,
TUDOR CAPITAL HOLDING LTD,17253605,active,ltd,,,2026-06-01,,2026-06-01,[64209],C/O Capshire Uk Llp Castle Court Reigate England RH2 9RJ,,,
BRYKED LIMITED,17253594,active,ltd,,,2026-06-01,,2026-06-01,"[62012, 62020]",66 Paul Street London England EC2A 4NA,bryked.com,hello@bryked.com,Confirmed
MAHIKI COFFEE COMPANY LIMITED,17253617,active,ltd,,,2026-06-01,,2026-06-01,[56102],1st Floor 44 Worship Street London United Kingdom EC2A 2EA,,,
